Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	PCHi-C (Jung, 2019)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	VEP (Ensembl)
AL162431.1	0.0815934065934066	78066						
AL358393.1	0.05439560439560439	206432						
XPR1	0.027197802197802195	352713						
KIAA1614	0.19038461538461537	71820	0.6					
IER5	0.21758241758241756	103995	0.8		0.1			
OVAAL	0.01813186813186813	431968						
AL162431.2	0.09065934065934064	8235						
ACBD6	0.009065934065934065	481763						
STX6	0.3082417582417582	38404	0.7		0.1			synonymous_variant
CACNA1E	0.03626373626373626	332973						
MR1	0.21758241758241756	48708	0.7		0.1			
LINC01732	0.06346153846153844	189767						
LINC01699	0.04532967032967032	251671						
KIAA1614-AS1	0.18131868131868129	29830	0.5					
