Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q96B86	RGMA_HUMAN	reviewed	Repulsive guidance molecule A (RGM domain family member A)	RGMA RGM	Homo sapiens (Human)	450
P10646	TFPI1_HUMAN	reviewed	Tissue factor pathway inhibitor (TFPI) (Extrinsic pathway inhibitor) (EPI) (Lipoprotein-associated coagulation inhibitor) (LACI)	TFPI LACI TFPI1	Homo sapiens (Human)	304
O75443	TECTA_HUMAN	reviewed	Alpha-tectorin	TECTA	Homo sapiens (Human)	2155
Q9Y6M0	TEST_HUMAN	reviewed	Testisin (EC 3.4.21.-) (Eosinophil serine protease 1) (ESP-1) (Serine protease 21)	PRSS21 ESP1 TEST1 UNQ266/PRO303	Homo sapiens (Human)	314
Q96PL2	TECTB_HUMAN	reviewed	Beta-tectorin	TECTB	Homo sapiens (Human)	329
Q6NW40	RGMB_HUMAN	reviewed	RGM domain family member B (DRG11-responsive axonal guidance and outgrowth of neurite) (DRAGON)	RGMB	Homo sapiens (Human)	437
Q9BZR6	RTN4R_HUMAN	reviewed	Reticulon-4 receptor (Nogo receptor) (NgR) (Nogo-66 receptor)	RTN4R NOGOR UNQ330/PRO526	Homo sapiens (Human)	473
O75326	SEM7A_HUMAN	reviewed	Semaphorin-7A (CDw108) (JMH blood group antigen) (John-Milton-Hargen human blood group Ag) (Semaphorin-K1) (Sema K1) (Semaphorin-L) (Sema L) (CD antigen CD108)	SEMA7A CD108 SEMAL	Homo sapiens (Human)	666
Q5BIV9	SPRN_HUMAN	reviewed	Shadow of prion protein (Protein shadoo)	SPRN SHO	Homo sapiens (Human)	151
P04216	THY1_HUMAN	reviewed	Thy-1 membrane glycoprotein (CDw90) (Thy-1 antigen) (CD antigen CD90)	THY1	Homo sapiens (Human)	161
O43280	TREA_HUMAN	reviewed	Trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase)	TREH TREA	Homo sapiens (Human)	583
P13385	TDGF1_HUMAN	reviewed	Teratocarcinoma-derived growth factor 1 (Cripto-1 growth factor) (CRGF) (Epidermal growth factor-like cripto protein CR1)	TDGF1 CRIPTO	Homo sapiens (Human)	188
Q8TDM5	SACA4_HUMAN	reviewed	Sperm acrosome membrane-associated protein 4 (Sperm acrosomal membrane-associated protein 14)	SPACA4 SAMP14 UNQ3046/PRO9862	Homo sapiens (Human)	124
P52803	EFNA5_HUMAN	reviewed	Ephrin-A5 (AL-1) (EPH-related receptor tyrosine kinase ligand 7) (LERK-7)	EFNA5 EPLG7 LERK7	Homo sapiens (Human)	228
A6ND01	JUNO_HUMAN	reviewed	Sperm-egg fusion protein Juno (Folate receptor 4) (Folate receptor delta) (FR-delta) (IZUMO1 receptor protein JUNO)	IZUMO1R FOLR4 JUNO	Homo sapiens (Human)	250
Q6UWR7	ENPP6_HUMAN	reviewed	Ectonucleotide pyrophosphatase/phosphodiesterase family member 6 (E-NPP 6) (NPP-6) (EC 3.1.4.-) (EC 3.1.4.38) (Choline-specific glycerophosphodiester phosphodiesterase) (Glycerophosphocholine cholinephosphodiesterase) (GPC-Cpde)	ENPP6 UNQ1889/PRO4334	Homo sapiens (Human)	440
O43921	EFNA2_HUMAN	reviewed	Ephrin-A2 (EPH-related receptor tyrosine kinase ligand 6) (LERK-6) (HEK7 ligand) (HEK7-L)	EFNA2 EPLG6 LERK6	Homo sapiens (Human)	213
P52798	EFNA4_HUMAN	reviewed	Ephrin-A4 (EPH-related receptor tyrosine kinase ligand 4) (LERK-4)	EFNA4 EPLG4 LERK4	Homo sapiens (Human)	201
Q99445	GML_HUMAN	reviewed	Glycosyl-phosphatidylinositol-anchored molecule-like protein	GML LY6DL	Homo sapiens (Human)	158
Q96ID5	IGS21_HUMAN	reviewed	Immunoglobulin superfamily member 21 (IgSF21)	IGSF21	Homo sapiens (Human)	467
Q8WWA0	ITLN1_HUMAN	reviewed	Intelectin-1 (ITLN-1) (Endothelial lectin HL-1) (Galactofuranose-binding lectin) (Intestinal lactoferrin receptor) (Omentin)	ITLN1 INTL ITLN LFR UNQ640/PRO1270	Homo sapiens (Human)	313
P54826	GAS1_HUMAN	reviewed	Growth arrest-specific protein 1 (GAS-1)	GAS1	Homo sapiens (Human)	345
Q9GZZ7	GFRA4_HUMAN	reviewed	GDNF family receptor alpha-4 (GDNF receptor alpha-4) (GDNFR-alpha-4) (GFR-alpha-4) (Persephin receptor)	GFRA4	Homo sapiens (Human)	299
P15328	FOLR1_HUMAN	reviewed	Folate receptor alpha (FR-alpha) (Adult folate-binding protein) (FBP) (Folate receptor 1) (Folate receptor, adult) (KB cells FBP) (Ovarian tumor-associated antigen MOv18)	FOLR1 FOLR	Homo sapiens (Human)	257
